hosname,hoscode,hsector,hostype,yeartransfer,region,pvcode,pvname,ampcode,ampname,tumcode,tumbonname
รพสต.บ้านยางสักกระโพหลุ่ม,03702,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3414,14-ม่วงสามสิบ,341407,07-ยางสักกระโพหลุ่ม
รพสต.นาดี ตำบลยางสักกระโพหลุ่ม,03701,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3414,14-ม่วงสามสิบ,341407,07-ยางสักกระโพหลุ่ม
รพสต.บ้านตุ ตำบลกาบิน,03690,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3412,12-กุดข้าวปุ้น,341204,04-กาบิน
รพสต.บ้านหนองขุ่น ตำบลยางโยภาพ,03710,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3414,14-ม่วงสามสิบ,341411,11-ยางโยภาพ
รพสต.บ้านหนองแสง ตำบลดุมใหญ่,03694,รพสต.อบจ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,2568,10,34,34-อุบลราชธานี,3414,14-ม่วงสามสิบ,341403,03-ดุมใหญ่
รพสต.บ้านคำหนามแท่ง ตำบลนาคาย,03756,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3420,20-ตาลสุม,342005,05-นาคาย
รพสต.บ้านแขมใต้ ตำบลบ้านแขม,03750,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3419,19-พิบูลมังสาหาร,341919,19-บ้านแขม
รพสต.บ้านนาชุม,03749,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3419,19-พิบูลมังสาหาร,341919,19-บ้านแขม
รพสต.บ้านหนองหลัก,03692,รพสต.อบจ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,2568,10,34,34-อุบลราชธานี,3414,14-ม่วงสามสิบ,341402,02-เหล่าบก
รพสต.บ้านบก ตำบลหนองทันน้ำ,03691,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3412,12-กุดข้าวปุ้น,341205,05-หนองทันน้ำ
รพสต.บ้านนกเต็น ตำบลโนนกลาง,03739,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3419,19-พิบูลมังสาหาร,341907,07-โนนกลาง
รพสต.บ้านกุดเรือ ตำบลกุดเรือ,03793,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3426,26-ทุ่งศรีอุดม,342604,04-กุดเรือ
รพสต.บ้านโนนใหญ่ ตำบลนาเกษม,03792,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3426,26-ทุ่งศรีอุดม,342603,03-นาเกษม
รพสต.บ้านนาเกษม ตำบลนาเกษม,03791,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3426,26-ทุ่งศรีอุดม,342603,03-นาเกษม
รพสต.บ้านกุดชมภู,03732,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3419,19-พิบูลมังสาหาร,341902,02-กุดชมภู
รพสต.หนองบัวฮี,03745,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3419,19-พิบูลมังสาหาร,341913,13-หนองบัวฮี
รพสต.บ้านชาดฮี,03737,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3419,19-พิบูลมังสาหาร,341906,06-นาโพธิ์
รพสต.บ้านหนองนา ตำบลพัฒนานิคม,01457,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,4,16,16-ลพบุรี,1602,02-พัฒนานิคม,160201,01-พัฒนานิคม
รพสต.บ้านคำก้าว ตำบลขามป้อม,03778,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3422,22-สำโรง,342209,09-ขามป้อม
รพสต.บ้านหัวสะพาน ตำบลคำเขื่อนแก้ว,03788,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3425,25-สิรินธร,342506,06-คำเขื่อนแก้ว
รพสต.บ้านหนองอ้ม ตำบลหนองอ้ม,03790,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3426,26-ทุ่งศรีอุดม,342602,02-หนองอ้ม
รพสต.บ้านข่อย,01449,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,4,16,16-ลพบุรี,1601,01-เมืองลพบุรี,160118,18-บ้านข่อย
รพสต.บ้านหนองมะค่า ตำบลห้วยขุนราม,01466,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,4,16,16-ลพบุรี,1602,02-พัฒนานิคม,160208,08-ห้วยขุนราม
รพสต.บ้านหนองฟานยืน ตำบลเหล่างาม,03766,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3421,21-โพธิ์ไทร,342106,06-เหล่างาม
รพสต.บ้านปากห้วยม่วง ตำบลเหล่างาม,03765,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3421,21-โพธิ์ไทร,342106,06-เหล่างาม
รพสต.บ้านโนนยาง,03818,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3433,33-น้ำขุ่น,343304,04-โคกสะอาด
รพสต.บ้านคันเปือย ตำบลคำเขื่อนแก้ว,03789,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3425,25-สิรินธร,342506,06-คำเขื่อนแก้ว
รพสต.บ้านหนองขาม ตำบลโคกก่อง,14266,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3422,22-สำโรง,342202,02-โคกก่อง
รพสต.บ้านนาคำ ตำบลนาคำ,03868,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3504,04-คำเขื่อนแก้ว,350406,06-นาคำ
รพสต.บ้านบกน้อย ตำบลดงแดนใหญ่,03870,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3504,04-คำเขื่อนแก้ว,350407,07-ดงแคนใหญ่
รพสต.บ้านนาเวียง ตำบลกู่จาน,03872,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3504,04-คำเขื่อนแก้ว,350408,08-กู่จาน
รพสต.บ้านนาหลู่ ตำบลนาแก,03874,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3504,04-คำเขื่อนแก้ว,350409,09-นาแก
รพสต.บ้านย่อ ตำบลย่อ,03863,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3504,04-คำเขื่อนแก้ว,350402,02-ย่อ
รพสต.บ้านหนองแข้ ตำบลโคกนาโก,03880,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3505,05-ป่าติ้ว,350503,03-โคกนาโก
รพสต.บ้านดู่ลาด ตำบลดู่ลาด,03844,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3502,02-ทรายมูล,350202,02-ดู่ลาด
รพสต.บ้านหนองชุม ตำบลโคกนาโก,03881,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3505,05-ป่าติ้ว,350503,03-โคกนาโก
รพสต.ห้วยหิน,01485,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,4,16,16-ลพบุรี,1604,04-ชัยบาดาล,160404,04-ห้วยหิน
รพสต.บ้านสำโรง ตำบลคูเมือง,03889,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3506,06-มหาชนะชัย,350603,03-คูเมือง
รพสต.บ้านดงจงอาง ตำบลบึงแก,03895,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3506,06-มหาชนะชัย,350608,08-บึงแก
รพสต.บ้านหัวดง ตำบลพระเสาร์,03897,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3506,06-มหาชนะชัย,350609,09-พระเสาร์
รพสต.บ้านเหล่าน้อย ตำบลค้อวัง,03900,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3507,07-ค้อวัง,350704,04-ค้อวัง
รพสต.ช่องสามหมอ,03959,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,9,36,36-ชัยภูมิ,3603,03-คอนสวรรค์,360303,03-ช่องสามหมอ
รพสต.บ้านศิริพัฒนา ตำบลน้ำอ้อม,03904,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3507,07-ค้อวัง,350703,03-น้ำอ้อม
รพสต.บ้านช่องเม็ก ตำบลบุ่งค้า,03906,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3508,08-เลิงนกทา,350802,02-บุ่งค้า
รพสต.บ้านหนองแคนน้อย ตำบลบุ่งค้า,03908,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3508,08-เลิงนกทา,350802,02-บุ่งค้า
รพสต.บ้านกุดแข้ด่อน ตำบลกุดเชียงหมี,03913,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3508,08-เลิงนกทา,350807,07-กุดเชียงหมี
รพสต.บ้านสมสะอาด ตำบลโคกสำราญ,03918,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3508,08-เลิงนกทา,350812,12-โคกสำราญ
รพสต.บ้านตูม ตำบลกุดน้ำใส,03903,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3507,07-ค้อวัง,350702,02-กุดน้ำใส
รพสต.บ้านน้ำอ้อม ตำบลน้ำอ้อม,03905,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3507,07-ค้อวัง,350703,03-น้ำอ้อม
รพสต.บ้านโคกใหญ่ ตำบลศรีแก้ว,03922,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3508,08-เลิงนกทา,350814,14-ศรีแก้ว
รพสต.บ้านหนองปลาดุก ตำบลบางลี่,01501,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,4,16,16-ลพบุรี,1605,05-ท่าวุ้ง,160504,04-บางลี่
รพสต.บ้านโคกเลาะ,04150,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,10,37,37-อำนาจเจริญ,3706,06-หัวตะพาน,370604,04-หนองแก้ว
รพสต.บางพึ่ง 2,01518,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,4,16,16-ลพบุรี,1606,06-บ้านหมี่,160608,08-บางพึ่ง
รพสต.บ้านลาดโคกสุก ตำบลหนองเต่า,01522,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,4,16,16-ลพบุรี,1606,06-บ้านหมี่,160611,11-หนองเต่า
รพสต.บ้านโคกก่ง,04119,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,10,37,37-อำนาจเจริญ,3702,02-ชานุมาน,370204,04-โคกก่ง
รพสต.บ้านโป่งหิน,04139,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,10,37,37-อำนาจเจริญ,3705,05-เสนางคนิคม,370502,02-โพนทอง
รพสต.บ้านหนองสามสี,04145,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,10,37,37-อำนาจเจริญ,3705,05-เสนางคนิคม,370506,06-หนองสามสี
รพสต.บ้านขุมเหล็ก,04152,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,10,37,37-อำนาจเจริญ,3706,06-หัวตะพาน,370605,05-โพนเมืองน้อย
รพสต.หนองไฮ,04144,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,10,37,37-อำนาจเจริญ,3705,05-เสนางคนิคม,370505,05-หนองไฮ
รพสต.หนองกระเบียน,01528,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,4,16,16-ลพบุรี,1606,06-บ้านหมี่,160616,16-หนองกระเบียน
รพสต.หนองเมือง,01531,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,4,16,16-ลพบุรี,1606,06-บ้านหมี่,160621,21-หนองเมือง
รพสต.ทะเลวังวัด,01536,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,4,16,16-ลพบุรี,1607,07-ท่าหลวง,160705,05-ทะเลวังวัด
รพสต.บ้านสามขา  ตำบลโพนสูง,05113,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,45,45-ร้อยเอ็ด,4503,03-ปทุมรัตต์,450304,04-โพนสูง
รพสต.บ้านร่องคำ  ตำบลป่าสังข์,05127,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,45,45-ร้อยเอ็ด,4504,04-จตุรพักตรพิมาน,450408,08-ป่าสังข์
รพสต.บ้านดงกลาง    ตำบลโคกกกม่วง,05161,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,45,45-ร้อยเอ็ด,4507,07-โพนทอง,450702,02-โคกกกม่วง
รพสต.บ้านดงครั่งน้อย   ตำบลดงครั่งน้อย,05108,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,45,45-ร้อยเอ็ด,4502,02-เกษตรวิสัย,450213,13-ดงครั่งน้อย
รพสต.บ้านฟ้าห่วน,04165,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,10,37,37-อำนาจเจริญ,3707,07-ลืออำนาจ,370705,05-ไร่ขี
รพสต.ห้วยใหญ่,01540,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,4,16,16-ลพบุรี,1608,08-สระโบสถ์,160804,04-ห้วยใหญ่
รพสต.บ้านหินลาว ตำบลกุดตาเพชร,01549,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,4,16,16-ลพบุรี,1610,10-ลำสนธิ,161004,04-กุดตาเพชร
รพสต.บ้านท่าม่วง    ตำบลท่าม่วง,05211,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,45,45-ร้อยเอ็ด,4510,10-เสลภูมิ,451007,07-ท่าม่วง
รพสต.บ้านจุมจัง   ตำบลอุ่มเม่า,05173,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,45,45-ร้อยเอ็ด,4507,07-โพนทอง,450709,09-อุ่มเม่า
รพสต.บ้านฉะวะ ตำบลหนองพอก,05189,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,45,45-ร้อยเอ็ด,4509,09-หนองพอก,450901,01-หนองพอก
รพสต.บ้านผำ  ตำบลเมืองสรวง,05240,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,45,45-ร้อยเอ็ด,4512,12-เมืองสรวง,451205,05-เมืองสรวง
รพสต.โนนสะอาด,03960,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,9,36,36-ชัยภูมิ,3603,03-คอนสวรรค์,360304,04-โนนสะอาด
รพสต.หนองตาโฮม ตำบลขี้เหล็ก,05258,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,45,45-ร้อยเอ็ด,4514,14-อาจสามารถ,451409,09-ขี้เหล็ก
รพสต.บ้านม่วงน้ำ ตำบลปาฝา,05275,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,45,45-ร้อยเอ็ด,4517,17-จังหาร,451702,02-ปาฝา
รพสต.บ้านแซงแหลม แสนชาติ,13958,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,45,45-ร้อยเอ็ด,4517,17-จังหาร,451708,08-แสนชาติ
รพสต.บ้านดอนกลอย    ตำบลหนองฮี,13959,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,45,45-ร้อยเอ็ด,4519,19-หนองฮี,451901,01-หนองฮี
รพสต.บ้านคำนางตุ้ม ตำบลบุ่งเลิศ,05264,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,45,45-ร้อยเอ็ด,4515,15-เมยวดี,451503,03-บุ่งเลิศ
รพสต.บ้านหัวเขา ตำบลมหาโพธิ,11673,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,4,16,16-ลพบุรี,1608,08-สระโบสถ์,160802,02-มหาโพธิ
รพสต.บ้านชะโงม ตำบลขามเฒ่า,05604,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4801,01-เมืองนครพนม,480108,08-ขามเฒ่า
สำนักงานสาธารณสุขจังหวัดลพบุรี,00006,สสจ.,01-สำนักงานสาธารณสุขจังหวัด,,4,16,16-ลพบุรี,1601,01-เมืองลพบุรี,160101,01-ทะเลชุบศร
รพสต.ขามเฒ่า,05603,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4801,01-เมืองนครพนม,480108,08-ขามเฒ่า
รพสต.ท่าค้อ,05608,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4801,01-เมืองนครพนม,480110,10-ท่าค้อ
รพสต.บ้านบัว ตำบลดงขวาง,05614,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4801,01-เมืองนครพนม,480113,13-ดงขวาง
รพสต.บ้านกลาง,05606,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4801,01-เมืองนครพนม,480109,09-บ้านกลาง
รพสต.คำเตย,05610,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4801,01-เมืองนครพนม,480111,11-คำเตย
รพสต.นามะเขือ,05624,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4802,02-ปลาปาก,480207,07-นามะเขือ
รพสต.ท่าจำปา,05629,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4803,03-ท่าอุเทน,480303,03-ท่าจำปา
รพสต.บ้านดอนสะฝาง ตำบลโพนทอง,05645,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4804,04-บ้านแพง,480403,03-โพนทอง
รพสต.บ้านคำนกกก ตำบลหนองแวง,05649,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4804,04-บ้านแพง,480404,04-หนองแวง
รพสต.บ้านโพนแพง ตำบลโพนแพง,05654,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4805,05-ธาตุพนม,480503,03-โพนแพง
รพสต.ตาลกุด ตำบลโพนแพง,05655,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4805,05-ธาตุพนม,480503,03-โพนแพง
รพสต.โพนทอง,05648,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4804,04-บ้านแพง,480403,03-โพนทอง
รพสต.บ้านทรายมูล ตำบลน้ำก่ำ,05663,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4805,05-ธาตุพนม,480508,08-น้ำก่ำ
รพสต.บ้านดงอินำ ตำบลพระซอง,05677,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4807,07-นาแก,480702,02-พระซอง
รพสต.หนองแวง,05650,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4804,04-บ้านแพง,480404,04-หนองแวง
รพสต.ฝั่งแดง,05653,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4805,05-ธาตุพนม,480502,02-ฝั่งแดง
รพสต.บ้านดงยอ,05658,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4805,05-ธาตุพนม,480505,05-นาถ่อน
รพสต.บ้านนาฉันทะ ตำบลนาคู่,05679,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4807,07-นาแก,480704,04-นาคู่
รพสต.บ้านหนองหอยใหญ่ ตำบลพุ่มแก,05684,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4807,07-นาแก,480706,06-พุ่มแก
รพสต.บ้านดงขวาง ตำบลหนองบ่อ,05689,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4807,07-นาแก,480708,08-หนองบ่อ
รพสต.บ้านนาขาม ตำบลวังยาง,05692,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4812,12-วังยาง,481201,01-วังยาง
รพสต.พระซอง,05676,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4807,07-นาแก,480702,02-พระซอง
รพสต.อุดมพร,04905,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,43,43-หนองคาย,4315,15-เฝ้าไร่,431505,05-อุดมพร
รพสต.บ้านโพนตูม ตำบลก้าเหลือง,05686,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4807,07-นาแก,480707,07-ก้านเหลือง
รพสต.ขี้เหล็ก,04091,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,9,36,36-ชัยภูมิ,3615,15-เนินสง่า,361503,03-กะฮาด
รพสต.บ้านอูนนา ตำบลนางัว,05717,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4809,09-นาหว้า,480902,02-นางัว
รพสต.บ้านนาคอย ตำบลนางัว,05718,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4809,09-นาหว้า,480902,02-นางัว
รพสต.บ้านปากยาม  ตำบลสามผง,05703,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4808,08-ศรีสงคราม,480804,04-สามผง
รพสต.บ้านดอนแดง  ตำบลบ้านเสียว,05719,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4809,09-นาหว้า,480903,03-บ้านเสียว
รพสต.บ้านเอื้อง,05701,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4808,08-ศรีสงคราม,480803,03-บ้านเอื้อง
รพสต.บ้านแก้ง,05694,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4807,07-นาแก,480712,12-บ้านแก้ง
รพสต.บ้านดอนเตย ตำบลดอนเตย,05739,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4811,11-นาทม,481103,03-ดอนเตย
รพสต.บ้านนาเข ตำบลนาเข,13980,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4804,04-บ้านแพง,480409,09-นาเข
รพสต.โพนสว่าง,05712,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4808,08-ศรีสงคราม,480808,08-โพนสว่าง
รพสต.บ้านโคก ,05741,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,10,49,49-มุกดาหาร,4901,01-เมืองมุกดาหาร,490103,03-บ้านโคก
หน่วยตรวจโรคศูนย์สงครามพิเศษ,12446,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,4,16,16-ลพบุรี,1601,01-เมืองลพบุรี,160101,01-ทะเลชุบศร
รพสต.บ้านนาอุดม ตำบลนาอุดม,05765,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,10,49,49-มุกดาหาร,4902,02-นิคมคำสร้อย,490205,05-นาอุดม
รพสต.บ้านหนองไผ่ ,05746,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,10,49,49-มุกดาหาร,4901,01-เมืองมุกดาหาร,490106,06-ผึ่งแดด
รพสต.บ้านคำฮี ,05744,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,10,49,49-มุกดาหาร,4901,01-เมืองมุกดาหาร,490105,05-โพนทราย
รพสต.บ้านนาทาม ตำบลป่าไร่,05774,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,10,49,49-มุกดาหาร,4903,03-ดอนตาล,490303,03-ป่าไร่
รพสต.บ้านกกตูม ตำบลกกตูม,05782,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,10,49,49-มุกดาหาร,4904,04-ดงหลวง,490403,03-กกตูม
รพสต.บ้านหนองหล่ม ตำบลโพธิ์ไทร,05769,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,10,49,49-มุกดาหาร,4903,03-ดอนตาล,490302,02-โพธิ์ไทร
รพสต.บ้านบุ่ง ตำบลภูวง,05808,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,10,49,49-มุกดาหาร,4907,07-หนองสูง,490703,03-ภูวง
รพสต.บ้านไตรสภาวะคาม ตำบลปิงโค้ง,05848,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,50,50-เชียงใหม่,5004,04-เชียงดาว,500406,06-ปิงโค้ง
รพสต.บ้านท่า ตำบลสง่าบ้าน,05853,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,50,50-เชียงใหม่,5005,05-ดอยสะเก็ด,500505,05-สง่าบ้าน
รพสต.บ้านป่าดู่ ตำบลป่าลาน,05854,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,50,50-เชียงใหม่,5005,05-ดอยสะเก็ด,500506,06-ป่าลาน
