hosname,hoscode,hsector,hostype,yeartransfer,region,pvcode,pvname,ampcode,ampname,tumcode,tumbonname
สำนักงานสาธารณสุขอำเภอนครชัยศรี,00754,อื่นๆ,,,5,73,73-นครปฐม,7303,03-นครชัยศรี,730301,01-นครชัยศรี
สำนักงานสาธารณสุขอำเภอบางเลน,00756,อื่นๆ,,,5,73,73-นครปฐม,7305,05-บางเลน,730501,01-บางเลน
สำนักงานสาธารณสุขอำเภอสามพราน,00757,อื่นๆ,,,5,73,73-นครปฐม,7306,06-สามพราน,730606,06-สามพราน
สำนักงานสาธารณสุขอำเภอพุทธมณฑล,00758,อื่นๆ,,,5,73,73-นครปฐม,7307,07-พุทธมณฑล,730701,01-ศาลายา
สำนักงานสาธารณสุขอำเภอไทรโยค,00730,อื่นๆ,,,5,71,71-กาญจนบุรี,7102,02-ไทรโยค,710201,01-ลุ่มสุ่ม
สำนักงานสาธารณสุขอำเภอศรีสวัสดิ์,00732,อื่นๆ,,,5,71,71-กาญจนบุรี,7104,04-ศรีสวัสดิ์,710402,02-ด่านแม่แฉลบ
สำนักงานสาธารณสุขอำเภอด่านมะขามเตี้ย,00739,อื่นๆ,,,5,71,71-กาญจนบุรี,7111,11-ด่านมะขามเตี้ย,711101,01-ด่านมะขามเตี้ย
สำนักงานสาธารณสุขอำเภอสังขละบุรี,00736,อื่นๆ,,,5,71,71-กาญจนบุรี,7108,08-สังขละบุรี,710801,01-หนองลู
สำนักงานสาธารณสุขอำเภอหนองปรือ,00740,อื่นๆ,,,5,71,71-กาญจนบุรี,7112,12-หนองปรือ,711201,01-หนองปรือ
สำนักงานสาธารณสุขอำเภอพนมทวน,00737,อื่นๆ,,,5,71,71-กาญจนบุรี,7109,09-พนมทวน,710901,01-พนมทวน
สำนักงานสาธารณสุขอำเภอเลาขวัญ,00738,อื่นๆ,,,5,71,71-กาญจนบุรี,7110,10-เลาขวัญ,711001,01-เลาขวัญ
สำนักงานสาธารณสุขอำเภอกระทุ่มแบน,00760,อื่นๆ,,,5,74,74-สมุทรสาคร,7402,02-กระทุ่มแบน,740201,01-ตลาดกระทุ่มแบน
สำนักงานสาธารณสุขอำเภอบ่อพลอย,00731,อื่นๆ,,,5,71,71-กาญจนบุรี,7103,03-บ่อพลอย,710301,01-บ่อพลอย
สำนักงานสาธารณสุขอำเภออัมพวา,00764,อื่นๆ,,,5,75,75-สมุทรสงคราม,7503,03-อัมพวา,750302,02-สวนหลวง
สำนักงานสาธารณสุขอำเภอกุยบุรี,00774,อื่นๆ,,,5,77,77-ประจวบคีรีขันธ์,7702,02-กุยบุรี,770202,02-กุยเหนือ
สำนักงานสาธารณสุขอำเภอทับสะแก,00775,อื่นๆ,,,5,77,77-ประจวบคีรีขันธ์,7703,03-ทับสะแก,770301,01-ทับสะแก
สำนักงานสาธารณสุขอำเภอทองผาภูมิ,00735,อื่นๆ,,,5,71,71-กาญจนบุรี,7107,07-ทองผาภูมิ,710701,01-ท่าขนุน
สำนักงานสาธารณสุขอำเภอท่าม่วง,00734,อื่นๆ,,,5,71,71-กาญจนบุรี,7106,06-ท่าม่วง,710601,01-ท่าม่วง
สำนักงานสาธารณสุขอำเภอบางสะพาน,00776,อื่นๆ,,,5,77,77-ประจวบคีรีขันธ์,7704,04-บางสะพาน,770407,07-แม่รำพึง
